postcode,oa11cd,lsoa11cd,msoa11cd,msoa11hclnm,wd19cd,wd19nm,lon,lat
M160BL,E00030952,E01006115,E02001262,Firswood,E05000825,Clifford,-2.271723,53.450911
M160BN,E00030952,E01006115,E02001262,Firswood,E05000825,Clifford,-2.27228,53.450864
M160DD,E00031374,E01006186,E02001261,Gorse Hill,E05000832,Longford,-2.286857,53.45999
M160DG,E00030952,E01006115,E02001262,Firswood,E05000825,Clifford,-2.271626,53.452133
M160DJ,E00031137,E01006145,E02001262,Firswood,E05000832,Longford,-2.27851,53.461681
M160DL,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M160DN,E00030952,E01006115,E02001262,Firswood,E05000825,Clifford,-2.272764,53.451178
M160DP,E00030952,E01006115,E02001262,Firswood,E05000825,Clifford,-2.272118,53.451476
M160DQ,E00030952,E01006115,E02001262,Firswood,E05000825,Clifford,-2.271398,53.451828
M160DR,E00030952,E01006115,E02001262,Firswood,E05000825,Clifford,-2.27178,53.45278
M160DS,E00030949,E01006114,E02001262,Firswood,E05000825,Clifford,-2.27282,53.45283
M160DT,E00030953,E01006114,E02001262,Firswood,E05000832,Longford,-2.273564,53.451464
M160DU,E00030949,E01006114,E02001262,Firswood,E05000832,Longford,-2.2741,53.452883
M160DW,E00030953,E01006114,E02001262,Firswood,E05000832,Longford,-2.274544,53.451694
M160DX,E00030953,E01006114,E02001262,Firswood,E05000832,Longford,-2.273955,53.451319
M160DY,E00030952,E01006115,E02001262,Firswood,E05000832,Longford,-2.273455,53.450871
M160EE,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M160EG,E00030948,E01006114,E02001262,Firswood,E05000832,Longford,-2.277158,53.453082
M160EJ,E00030974,E01006114,E02001262,Firswood,E05000832,Longford,-2.275465,53.456664
M160EL,E00030977,E01006114,E02001262,Firswood,E05000832,Longford,-2.276521,53.454657
M160EN,E00030948,E01006114,E02001262,Firswood,E05000832,Longford,-2.274722,53.453627
M160EP,E00030953,E01006114,E02001262,Firswood,E05000832,Longford,-2.27614,53.451575
M160EQ,E00030948,E01006114,E02001262,Firswood,E05000832,Longford,-2.277639,53.452928
M160ER,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M160ES,E00030948,E01006114,E02001262,Firswood,E05000832,Longford,-2.275539,53.454138
M160ET,E00030949,E01006114,E02001262,Firswood,E05000832,Longford,-2.274374,53.453296
M160EU,E00031116,E01006146,E02001262,Firswood,E05000832,Longford,-2.278573,53.452962
M160EW,E00030949,E01006114,E02001262,Firswood,E05000832,Longford,-2.27621,53.453147
M160EX,E00031124,E01006146,E02001262,Firswood,E05000832,Longford,-2.278292,53.451462
M160EY,E00031121,E01006146,E02001262,Firswood,E05000832,Longford,-2.282565,53.450921
M160EZ,E00031124,E01006146,E02001262,Firswood,E05000832,Longford,-2.280968,53.450772
M160FF,E00030974,E01006114,E02001262,Firswood,E05000832,Longford,-2.275189,53.456007
M160FG,E00030950,E01006113,E02001262,Firswood,E05000825,Clifford,-2.27405,53.456838
M160FH,E00030948,E01006114,E02001262,Firswood,E05000832,Longford,-2.277066,53.452813
M160FJ,E00030950,E01006113,E02001262,Firswood,E05000825,Clifford,-2.274001,53.456182
M160FL,E00030977,E01006114,E02001262,Firswood,E05000832,Longford,-2.276534,53.454324
M160FN,E00030953,E01006114,E02001262,Firswood,E05000832,Longford,-2.275682,53.450668
M160FP,E00030953,E01006114,E02001262,Firswood,E05000832,Longford,-2.276353,53.451898
M160FQ,E00030950,E01006113,E02001262,Firswood,E05000825,Clifford,-2.27405,53.456838
M160FR,E00030948,E01006114,E02001262,Firswood,E05000832,Longford,-2.275527,53.45234
M160FS,E00030948,E01006114,E02001262,Firswood,E05000832,Longford,-2.277033,53.452337
M160FT,E00030948,E01006114,E02001262,Firswood,E05000832,Longford,-2.274937,53.454238
M160FU,E00031124,E01006146,E02001262,Firswood,E05000832,Longford,-2.279002,53.451739
